3042,あ,Hiragana letter A
3044,い,Hiragana letter I
3046,う,Hiragana letter U
3048,え,Hiragana letter E
304A,お,Hiragana letter O
304B,か,Hiragana letter KA
304C,が,Hiragana letter GA
304D,き,Hiragana letter KI
304E,ぎ,Hiragana letter GI
304F,く,Hiragana letter KU
3050,ぐ,Hiragana letter GU
3051,け,Hiragana letter KE
3052,げ,Hiragana letter GE
3053,こ,Hiragana letter KO
3054,ご,Hiragana letter GO
3055,さ,Hiragana letter SA
3056,ざ,Hiragana letter ZA
3057,し,Hiragana letter SI
3058,じ,Hiragana letter ZI
3059,す,Hiragana letter SU
305A,ず,Hiragana letter ZU
305B,せ,Hiragana letter SE
305C,ぜ,Hiragana letter ZE
305D,そ,Hiragana letter SO
305E,ぞ,Hiragana letter ZO
305F,た,Hiragana letter TA
3060,だ,Hiragana letter DA
3061,ち,Hiragana letter TI
3062,ぢ,Hiragana letter DI
3064,つ,Hiragana letter TU
3065,づ,Hiragana letter DU
3066,て,Hiragana letter TE
3067,で,Hiragana letter DE
3068,と,Hiragana letter TO
3069,ど,Hiragana letter DO
306A,な,Hiragana letter NA
306B,に,Hiragana letter NI
306C,ぬ,Hiragana letter NU
306D,ね,Hiragana letter NE
306E,の,Hiragana letter NO
306F,は,Hiragana letter HA
3070,ば,Hiragana letter BA
3071,ぱ,Hiragana letter PA
3072,ひ,Hiragana letter HI
3073,び,Hiragana letter BI
3074,ぴ,Hiragana letter PI
3075,ふ,Hiragana letter HU
3076,ぶ,Hiragana letter BU
3077,ぷ,Hiragana letter PU
3078,へ,Hiragana letter HE
3079,べ,Hiragana letter BE
307A,ぺ,Hiragana letter PE
307B,ほ,Hiragana letter HO
307C,ぼ,Hiragana letter BO
307D,ぽ,Hiragana letter PO
307E,ま,Hiragana letter MA
307F,み,Hiragana letter MI
3080,む,Hiragana letter MU
3081,め,Hiragana letter ME
3082,も,Hiragana letter MO
3084,や,Hiragana letter YA
3086,ゆ,Hiragana letter YU
3088,よ,Hiragana letter YO
3089,ら,Hiragana letter RA
308A,り,Hiragana letter RI
308B,る,Hiragana letter RU
308C,れ,Hiragana letter RE
308D,ろ,Hiragana letter RO
308F,わ,Hiragana letter WA
3090,ゐ,Hiragana letter WI
3091,ゑ,Hiragana letter WE
3092,を,Hiragana letter WO
3093,ん,Hiragana letter N